This results file represents the nested function that is associated with attribute x2 of the function that is one level higher.,,,,,,,,,,,
,,,,,,,,,,,
x2->,x2.1,x2.2,x2.3,,,,,,,,
,,,,,,,,,,,
Attributes, k-value, sub-attributes,,,,,,,,,
x2.1,2,FALSE,,,,,,,,,
x2.2,2,FALSE,,,,,,,,,
x2.3,2,FALSE,,,,,,,,,
,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,
Shortest Hansel Chain First,,,,,,,,,,,
True Attributes:,x3,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,
Static,,,,,,,,,,,
,,,,,,,,,,,
Original Results,,,,,,,,,,,
Monotone Boolean Function Simplified: x2.1x2.3 v x2.2x2.3,,,,,,,,,,,
Monotone Boolean Function Non-simplified:x2.1x2.3 v x2.2x2.3,,,,,,,,,,,
Order of Questions:,2.2,3.2,3.3,,,,,,,,
Answers:,1,0,1,,,,,,,,
Total Questions: 3,,,,,,,,,,,
,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Expanded By,Expanded 1-1,Expanded 0-0,Expandable 1-1,Expandable 0-0
1.1,0;1;0,2,1,,0,0,,,3.1;,1.2;3.3;,3.1;
1.2,1;1;0,1,2,,1,0,,,2.1;,3.4;,1.1;2.1;
2.1,1;0;0,4,3,,0,0,1.2,,,1.2;2.2;,3.1;
2.2,1;0;1,3,4,1,1,1,,3.4;,,3.4;,3.2;2.1;
3.1,0;0;0,8,5,,0,0,1.1,,,2.1;1.1;3.2;,
3.2,0;0;1,7,6,2,0,0,,,,2.2;3.3;,3.1;
3.3,0;1;1,6,7,3,1,1,,,,3.4;,3.2;1.1;
3.4,1;1;1,5,8,,0,1,2.2,,,,3.3;2.2;1.2;
,,,,,,,,,,,
,,,,,,,,,,,
Results After Applying Any f-Changes,,,,,,,,,,,
Monotone Boolean Function Simplified: x2.1x2.3 v x2.2x2.3,,,,,,,,,,,
Monotone Boolean Function Non-simplified:x2.1x2.3 v x2.2x2.3,,,,,,,,,,,
Order of Questions:,,,,,,,,,,,
Answers:,,,,,,,,,,,
Total Questions: 0,,,,,,,,,,,
,,,,,,,,,,,
Reference Number,Vector,Class,f-Change,Expanded By,Expanded 1-1,Expanded 0-0,Expandable 1-1,Expandable 0-0,,,
1.1,0;1;0,0,,,,3.1;,1.2;3.3;,3.1;,,,
1.2,1;1;0,0,,,,2.1;,3.4;,1.1;2.1;,,,
2.1,1;0;0,0,,1.2,,,1.2;2.2;,3.1;,,,
2.2,1;0;1,1,,,3.4;,,3.4;,3.2;2.1;,,,
3.1,0;0;0,0,,1.1,,,2.1;1.1;3.2;,,,,
3.2,0;0;1,0,,,,,2.2;3.3;,3.1;,,,
3.3,0;1;1,1,,,,,3.4;,3.2;1.1;,,,
3.4,1;1;1,1,,2.2,,,,3.3;2.2;1.2;,,,
