Attributes, k-value,,,,,,,,,,,
x1,2,,,,,,,,,,,
x2,2,,,,,,,,,,,
x3,2,,,,,,,,,,,
x4,2,,,,,,,,,,,
x5,2,,,,,,,,,,,
,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,
Longest Hansel Chain First,,,,,,,,,,,,
True Attributes:,x4,,,,,,,,,,,
Majority Flag used,0,,,,,,,,,,,
Chain jump bottom: start at the bottom and skip that chain if the vector class is 0 (revisit later),,,,,,,,,,,,
,,,,,,,,,,,,
Monotone Boolean Function Simplified: x4x5 v x2x3x5 v x1x3x5,,,,,,,,,,,,
Monotone Boolean Function Non-simplified:x4x5 v x2x3x5 v x2x4x5 v x1x4x5 v x1x3x5,,,,,,,,,,,,
Order of Questions:,1.4,3.3,4.3,5.3,9.2,10.2,1.2,1.3,3.2,,,
Answers:,1,1,1,1,1,0,0,1,0,,,
Total Questions: 9,,,,,,,,,,,,
,,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Class,Majority Flag,Expanded 1-1,Expanded 0-0,Unexpandable 1-1,Unexpandable 0-0,Prior 1-1,Prior 0-0
1.1,0;0;0;0;0,11,11,,0,0,,,5.1;4.1;3.1;2.1;1.2;,,,
1.2,0;0;0;0;1,12,12,7,0,0,,,5.2;4.2;3.2;1.3;,1.1;,,
1.3,0;0;0;1;1,13,13,8,1,0,,,5.3;4.3;1.4;,1.2;2.1;,,
1.4,0;0;1;1;1,1,1,1,1,1,5.4;1.5;,,,1.3;3.2;2.2;,,
1.5,0;1;1;1;1,14,14,,1,0,1.6;,,,1.4;4.3;3.3;2.3;,,
1.6,1;1;1;1;1,15,15,,1,0,,,,1.5;5.4;4.4;3.4;2.4;,,
2.1,0;0;0;1;0,16,25,,0,0,,,8.1;6.1;2.2;1.3;,1.1;,,
2.2,0;0;1;1;0,17,31,,0,0,,,8.2;2.3;,2.1;3.1;,1.4;,2.1;
2.3,0;1;1;1;0,2,2,,0,1,,2.2;6.1;7.1;,2.4;1.5;,,,
2.4,1;1;1;1;0,18,32,,0,0,,,,2.3;8.2;6.2;7.2;,1.6;,2.3;
3.1,0;0;1;0;0,19,16,,0,0,,,9.1;7.1;2.2;3.2;,1.1;,,
3.2,0;0;1;0;1,20,17,9,0,0,,,9.2;3.3;1.4;,1.2;3.1;,,
3.3,0;1;1;0;1,3,3,2,1,1,3.4;,,1.5;,3.2;4.2;7.1;,,
3.4,1;1;1;0;1,21,18,,1,0,,,1.6;,3.3;9.2;10.2;7.2;,,
4.1,0;1;0;0;0,22,19,,0,0,,,10.1;7.1;6.1;4.2;,1.1;,,
4.2,0;1;0;0;1,23,20,,0,0,,,10.2;3.3;4.3;,1.2;4.1;,,
4.3,0;1;0;1;1,4,4,3,1,1,4.4;,,1.5;,1.3;4.2;6.1;,,
4.4,1;1;0;1;1,24,21,,1,0,,,1.6;,4.3;5.3;10.2;6.2;,,
5.1,1;0;0;0;0,25,22,,0,0,,,10.1;9.1;8.1;5.2;,1.1;,,
5.2,1;0;0;0;1,26,23,,0,0,,,10.2;9.2;5.3;,1.2;5.1;,,
5.3,1;0;0;1;1,5,5,4,1,1,,,4.4;5.4;,1.3;5.2;8.1;,,
5.4,1;0;1;1;1,27,24,,1,0,,,1.6;,1.4;5.3;9.2;8.2;,,
6.1,0;1;0;1;0,28,26,,0,0,,,6.2;2.3;4.3;,2.1;4.1;,,
6.2,1;1;0;1;0,6,6,,0,1,,8.1;10.1;,2.4;4.4;,6.1;,,
7.1,0;1;1;0;0,29,27,,0,0,,,7.2;2.3;3.3;,3.1;4.1;,,
7.2,1;1;1;0;0,7,7,,0,1,,9.1;,2.4;3.4;,7.1;10.1;,,
8.1,1;0;0;1;0,30,28,,0,0,,,6.2;8.2;5.3;,2.1;5.1;,,
8.2,1;0;1;1;0,8,8,,0,1,,,2.4;5.4;,2.2;8.1;9.1;,,
9.1,1;0;1;0;0,31,29,,0,0,,,7.2;8.2;9.2;,3.1;5.1;,,
9.2,1;0;1;0;1,9,9,5,1,1,,,3.4;5.4;,3.2;5.2;9.1;,,
10.1,1;1;0;0;0,32,30,,0,0,,,7.2;6.2;10.2;,4.1;5.1;,,
10.2,1;1;0;0;1,10,10,6,0,1,,4.2;5.2;,3.4;4.4;,10.1;,,
