This file is for the function named testbinarysearch,,,,,,,,,,,
Attributes, k-value, sub-attributes,,,,,,,,,
x1,3,,,,,,,,,,
x2,3,,,,,,,,,,
x3,3,,,,,,,,,,
,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,
Shortest Hansel Chain First,,,,,,,,,,,
True Attributes:,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,
Static,,,,,,,,,,,
,,,,,,,,,,,
Original Results,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = (x1<2)(x2<1) v (x1<1)(x2<2) v (x1<1)(x2<1)(x3<1) v (x1<2)(x3<1) v (x2<2)(x3<2),,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = (x1<2)(x2<1) v (x1<1)(x2<2) v (x1<1)(x2<1)(x3<1) v (x1<2)(x3<1) v (x1<1)(x2<2)(x3<1) v (x1<1)(x2<1)(x3<2) v (x2<2)(x3<2),,,,,,,,,,,
Monotone Boolean Function Simplified: k = 1 = (x1>=2)(x2>=1) v (x1>=1)(x2>=2) v (x1>=1)(x2>=1)(x3>=1) v (x1>=2)(x3>=1) v (x2>=2)(x3>=2),,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 1 = (x1>=2)(x2>=1) v (x1>=1)(x2>=2) v (x1>=1)(x2>=1)(x3>=1) v (x1>=2)(x3>=1) v (x1>=1)(x2>=2)(x3>=1) v (x1>=1)(x2>=1)(x3>=2) v (x2>=2)(x3>=2),,,,,,,,,,,
Order of Questions:,1.1,2.2,2.1,3.2,3.1,4.2,4.1,5.3,6.3,7.4,7.5
Answers:,1,1,0,1,0,1,0,0,0,0,1
Total Questions: 11,,,,,,,,,,,
,,,,,,,,,,,
Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable
1.1,2;1;0,1,1,1,0,1,,2.3;3.3;,,2.3;3.3;,3.1;4.1;
2.1,0;2;0,4,3,3,0,0,,,5.1;,2.2;5.3;,5.1;
2.2,1;2;0,3,2,2,0,1,,5.4;,,2.3;5.4;,2.1;3.1;
2.3,2;2;0,2,0,,0,1,1.1,5.5;,,5.5;,2.2;1.1;
3.1,1;1;0,7,5,5,0,0,,,6.1;,1.1;2.2;3.2;,5.1;6.1;
3.2,1;1;1,6,4,4,0,1,,6.4;,,3.3;5.4;6.4;,5.2;6.2;3.1;
3.3,2;1;1,5,0,,0,1,1.1,6.5;,,5.5;6.5;,3.2;4.2;1.1;
4.1,2;0;0,10,7,7,0,0,,,,1.1;4.2;,6.1;
4.2,2;0;1,9,6,6,0,1,,4.3;,,3.3;4.3;,6.2;4.1;
4.3,2;0;2,8,0,,0,1,4.2,,,6.5;,6.3;4.2;
5.1,0;1;0,15,0,,0,0,2.1,,7.1;,3.1;2.1;5.2;,7.1;
5.2,0;1;1,14,0,,0,0,5.3,,7.2;,3.2;5.3;7.4;,7.2;5.1;
5.3,0;2;1,13,8,8,0,0,,,5.2;,5.4;7.5;,5.2;2.1;
5.4,1;2;1,12,9,,0,1,2.2,7.6;,,5.5;7.6;,5.3;3.2;2.2;
5.5,2;2;1,11,0,,0,1,2.3,,,7.7;,5.4;3.3;2.3;
6.1,1;0;0,20,0,,0,0,3.1,,,4.1;3.1;6.2;,7.1;
6.2,1;0;1,19,0,,0,0,6.3,,,4.2;3.2;6.3;,7.2;6.1;
6.3,1;0;2,18,10,9,0,0,,,7.3;6.2;,4.3;6.4;,7.3;6.2;
6.4,1;1;2,17,11,,0,1,3.2,,,6.5;7.6;,7.4;6.3;3.2;
6.5,2;1;2,16,0,,0,1,3.3,,,7.7;,6.4;4.3;3.3;
7.1,0;0;0,27,0,,0,0,5.1,,,6.1;5.1;7.2;,
7.2,0;0;1,26,0,,0,0,5.2,,,6.2;5.2;7.3;,7.1;
7.3,0;0;2,25,0,,0,0,6.3,,,6.3;7.4;,7.2;
7.4,0;1;2,24,12,10,0,0,,,,6.4;7.5;,7.3;5.2;
7.5,0;2;2,23,14,11,0,1,,,,7.6;,7.4;5.3;
7.6,1;2;2,22,13,,0,1,5.4,7.7;,,7.7;,7.5;6.4;5.4;
7.7,2;2;2,21,0,,0,1,7.6,,,,7.6;6.5;5.5;
,,,,,,,,,,,
,,,,,,,,,,,
Results After Applying Any f-Changes,,,,,,,,,,,
Monotone Boolean Function Simplified: k = 0 = (x1<2)(x2<1) v (x1<1)(x2<2) v (x1<1)(x2<1)(x3<1) v (x1<2)(x3<1) v (x2<2)(x3<2),,,,,,,,,,,
Monotone Boolean Function Non-simplified: k = 0 = (x1<2)(x2<1) v (x1<1)(x2<2) v (x1<1)(x2<1)(x3<1) v (x1<2)(x3<1) v (x1<1)(x2<2)(x3<1) v (x1<1)(x2<1)(x3<2) v (x2<2)(x3<2),,,,,,,,,,,
