Monotone Boolean Function Simplified: x1x3x5 v x2x3x5 v x4x5
Monotone Boolean Function Non-simplified:x1x3x5 v x2x3x5 v x2x4x5 v x1x4x5 v x4x5
Order of Questions:,1.2,2.2,3.2,4.2,5.2,6.4,8.4,7.3,7.2,8.3,9.3,10.4,10.3,
Answers:,0,0,0,1,0,0,1,1,0,1,1,1,1,
Total Questions: 13

Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Class,Majority Flag,Expanded 1-1,Expanded 0-0,Unexpandable 1-1,Unexpandable 0-0,Prior 1-1,Prior 0-0,
1.1,0;1;0;1;0,1,2,,0,0,,6.1;8.1;,1.2;6.3;8.3;,,,,
1.2,1;1;0;1;0,2,1,1,0,0,,1.1;3.1;5.1;,6.4;8.4;,,,,
2.1,0;1;1;0;0,3,4,,0,0,,7.1;,2.2;6.3;7.3;,8.1;,,,
2.2,1;1;1;0;0,4,3,2,0,0,,2.1;4.1;,6.4;7.4;,5.1;,,,
3.1,1;0;0;1;0,5,6,,0,0,,9.1;,1.2;3.2;9.3;,6.1;,,,
3.2,1;0;1;1;0,6,5,3,0,0,,6.2;,6.4;9.4;,3.1;4.1;,,,
4.1,1;0;1;0;0,7,18,,0,0,,,4.2;,7.1;9.1;,2.2;3.2;,,
4.2,1;0;1;0;1,8,7,4,1,0,7.4;9.4;,,,7.2;9.2;,,,
5.1,1;1;0;0;0,9,9,,0,0,,,2.2;1.2;5.2;,8.1;9.1;,,,
5.2,1;1;0;0;1,10,8,5,0,0,,8.2;9.2;,7.4;8.4;,5.1;,,,
6.1,0;0;0;1;0,11,13,,0,0,,10.1;,3.1;1.1;6.2;10.3;,,,,
6.2,0;0;1;1;0,12,12,,0,0,,,3.2;6.3;10.4;,6.1;7.1;,,,
6.3,0;1;1;1;0,13,11,,0,0,,,6.4;10.5;,6.2;1.1;2.1;,,,
6.4,1;1;1;1;0,14,10,6,0,0,,6.3;,10.6;,3.2;1.2;2.2;,,,
7.1,0;0;1;0;0,15,21,,0,0,,,7.2;,10.1;,4.1;2.1;6.2;,,
7.2,0;0;1;0;1,16,20,9,0,0,,10.2;,7.3;10.4;,7.1;,4.2;,,
7.3,0;1;1;0;1,17,19,8,1,0,10.5;,,7.4;,,,2.1;,
7.4,1;1;1;0;1,18,14,,1,0,10.6;,,,,,,
8.1,0;1;0;0;0,19,24,,0,0,,,8.2;,10.1;,5.1;2.1;1.1;,,
8.2,0;1;0;0;1,20,23,,0,0,,,8.3;,10.2;8.1;,5.2;7.3;,,
8.3,0;1;0;1;1,21,22,10,1,0,,,8.4;10.5;,10.3;,,1.1;,
8.4,1;1;0;1;1,22,15,7,1,0,,,10.6;,,,,
9.1,1;0;0;0;0,23,27,,0,0,,,9.2;,10.1;,5.1;4.1;3.1;,,
9.2,1;0;0;0;1,24,26,,0,0,,,9.3;,10.2;9.1;,5.2;4.2;,,
9.3,1;0;0;1;1,25,25,11,1,0,,,9.4;,10.3;,8.4;,3.1;,
9.4,1;0;1;1;1,26,16,,1,0,,,10.6;,10.4;,,,
10.1,0;0;0;0;0,27,32,,0,0,,,10.2;,,9.1;8.1;7.1;6.1;,,
10.2,0;0;0;0;1,28,31,,0,0,,,10.3;,10.1;,9.2;8.2;7.2;,,
10.3,0;0;0;1;1,29,30,13,1,0,,,10.4;,,9.3;8.3;,6.1;,
10.4,0;0;1;1;1,30,29,12,1,0,,,10.5;,,9.4;,7.2;6.2;,
10.5,0;1;1;1;1,31,28,,1,0,,,10.6;,,,8.3;7.3;6.3;,
10.6,1;1;1;1;1,32,17,,1,0,,,,,,,

Questions Asked,13

Attributes:
a
b
c
d
e

