This file is for the function named testsmallHaus
Attributes, k-value, sub-attributes
x1,2,
x2,2,
x3,2,
x4,2,
x5,2,

Pilot Questions:
Any Vector Order
True Attributes:,
Majority Flag not used
Static

Original Results
Monotone Boolean Function Simplified: k = 0 = !x1!x3!x5 v !x4!x5 v !x2!x3!x5
Monotone Boolean Function Non-simplified: k = 0 = x1x2x3x4x5 v x2x3x4x5 v x1x3x4x5 v x1x2x4x5 v x1x3x5 v x2x4x5 v x1x2x3x5 v x4x5 v x3x4x5 v x2x3x5
Monotone Boolean Function Simplified: k = 1 = x1x3x5 v x4x5 v x2x3x5
Monotone Boolean Function Non-simplified: k = 1 = x1x2x3x4x5 v x2x3x4x5 v x1x3x4x5 v x1x2x4x5 v x1x3x5 v x2x4x5 v x1x2x3x5 v x4x5 v x3x4x5 v x2x3x5
Order of Questions:,1.3,1.6,2.4,3.4,4.4,5.1,5.2,6.2,7.3,8.1,10.2,
Answers:,0,1,1,1,1,0,1,1,0,1,1,
Total Questions: 11

Reference Number,Vector,Planned Query Order,Updated Query Order,Final Query Order,Majority Flag,Class,Oracle,Confirmed,Expanded By,Up Expansions,Down Expansions,Up Expandable,Down Expandable
1.1,0;0;0;0;0,6,0,,0,0,0,1,2.1,,,1.2;2.1;3.1;4.1;7.1;,
1.2,1;0;0;0;0,5,0,,0,0,0,1,1.3,,,1.3;3.2;4.2;7.2;,1.1;
1.3,1;1;0;0;0,4,1,1,0,0,0,1,,1.4;,2.1;1.2;,1.4;4.3;7.3;,2.1;1.2;
1.4,1;1;1;0;0,3,0,,0,0,0,1,1.3,1.5;,,1.5;7.4;,2.2;3.2;1.3;
1.5,1;1;1;1;0,2,2,,0,0,0,1,1.4,,2.3;3.3;4.3;,1.6;,2.3;3.3;4.3;1.4;
1.6,1;1;1;1;1,1,3,2,0,1,1,1,,,,,2.4;3.4;4.4;7.4;1.5;
2.1,0;1;0;0;0,10,0,,0,0,0,1,1.3,,1.1;,1.3;2.2;6.1;10.1;,1.1;
2.2,0;1;1;0;0,9,0,,0,0,0,1,2.3,,,1.4;2.3;10.2;,3.1;2.1;
2.3,0;1;1;1;0,8,4,,0,0,0,1,1.5,,9.1;6.1;2.2;,1.5;2.4;,9.1;6.1;2.2;
2.4,0;1;1;1;1,7,5,3,0,1,1,1,,,,1.6;,9.2;6.2;10.2;2.3;
3.1,0;0;1;0;0,14,0,,0,0,0,1,9.1,,,3.2;2.2;9.1;5.1;,1.1;
3.2,1;0;1;0;0,13,0,,0,0,0,1,3.3,,,1.4;3.3;5.2;,3.1;1.2;
3.3,1;0;1;1;0,12,6,,0,0,0,1,1.5,,4.2;3.2;,1.5;3.4;,9.1;4.2;3.2;
3.4,1;0;1;1;1,11,7,4,0,1,1,1,,,,1.6;,9.2;8.2;5.2;3.3;
4.1,0;0;0;1;0,18,0,,0,0,0,1,9.1,,,4.2;6.1;9.1;8.1;,1.1;
4.2,1;0;0;1;0,17,0,,0,0,0,1,3.3,,,4.3;3.3;8.2;,4.1;1.2;
4.3,1;1;0;1;0,16,8,,0,0,0,1,1.5,,,1.5;4.4;,6.1;4.2;1.3;
4.4,1;1;0;1;1,15,9,5,0,1,1,1,,,,1.6;,6.2;8.2;7.3;4.3;
5.1,0;0;1;0;1,20,10,6,0,0,0,1,,,7.1;,5.2;10.2;9.2;,7.1;3.1;
5.2,1;0;1;0;1,19,11,7,0,1,1,1,,7.4;,,7.4;3.4;,5.1;7.2;3.2;
6.1,0;1;0;1;0,22,12,,0,0,0,1,2.3,,,4.3;2.3;6.2;,4.1;2.1;
6.2,0;1;0;1;1,21,13,8,0,1,1,1,,,,4.4;2.4;,8.1;10.1;6.1;
7.1,0;0;0;0;1,26,0,,0,0,0,1,5.1,,,7.2;10.1;5.1;8.1;,1.1;
7.2,1;0;0;0;1,25,0,,0,0,0,1,7.3,,,7.3;5.2;8.2;,7.1;1.2;
7.3,1;1;0;0;1,24,14,9,0,0,0,1,,,10.1;7.2;,7.4;4.4;,10.1;7.2;1.3;
7.4,1;1;1;0;1,23,15,,0,1,1,1,5.2,,,1.6;,10.2;5.2;7.3;1.4;
8.1,0;0;0;1;1,28,16,10,0,1,1,1,,8.2;9.2;,,8.2;6.2;9.2;,7.1;4.1;
8.2,1;0;0;1;1,27,0,,0,1,1,1,8.1,,,4.4;3.4;,8.1;7.2;4.2;
9.1,0;0;1;1;0,30,17,,0,0,0,1,2.3,,4.1;3.1;,3.3;2.3;9.2;,4.1;3.1;
9.2,0;0;1;1;1,29,18,,0,1,1,1,8.1,,,3.4;2.4;,8.1;5.1;9.1;
10.1,0;1;0;0;1,32,19,,0,0,0,1,7.3,,,7.3;10.2;6.2;,7.1;2.1;
10.2,0;1;1;0;1,31,20,11,0,1,1,1,,,,7.4;2.4;,5.1;10.1;2.2;

